pos_id;product_id;price
X51;26071718;3179
Э;26071718;3179
g;26071718;3179
X34;26071718;3179
X28;26071718;3179
а;23734838;600
X47;23734838;600
р;23734838;600
Л;23734838;600
X29;23734838;600
X36;23734838;600
Х;23734838;600
X40;23734838;600
X41;23734838;600
X30;23734838;600
Э;23734838;600
X;23734838;600
X37;23734838;600
К;23734838;600
v;23734838;600
X42;23734838;600
X28;23734838;600
з;23734838;600
X34;23734838;600
q;23734838;600
X51;23734838;600
X27;23734838;600
X50;23734838;600
X43;23734838;600
А;23734838;600
л;23734838;600
g;23734838;600
X32;23734838;600
к;23734838;600
X38;23734838;600
Р;23734838;600
X28;24990110;1984
X50;24990110;1984
X29;24990110;1984
X47;24990110;1984
g;24990110;1984
X34;24990110;1984
X41;24990110;1984
q;24990110;1984
Х;24990110;1984
X42;24990110;1984
v;24990110;1984
X36;24990110;1984
к;24990110;1984
X;24990110;1984
а;24990110;1984
X30;24990110;1984
X32;24990110;1984
Л;24990110;1984
X43;24990110;1984
К;24990110;1984
Э;24990110;1984
X51;24990110;1984
з;24990110;1984
А;24990110;1984
л;24990110;1984
X40;24990110;1984
Р;24990110;1984
X27;24990110;1984
р;24990110;1984
X38;24990110;1984
X37;24990110;1984
X37;26321233;11854
X40;26321233;11854
X27;26321233;11854
Л;26321233;11854
к;26321233;11854
X29;26321233;11854
g;26321233;11854
X42;26321233;11854
X;26321233;11854
з;26321233;11854
X34;26321233;11854
Р;26321233;11854
v;26321233;11854
X50;26321233;11854
X41;26321233;11854
X28;26321233;11854
л;26321233;11854
X30;26321233;11854
X47;26321233;11854
q;26321233;11854
X51;26321233;11854
Э;26321233;11854
К;26321233;11854
X32;26321233;11854
X38;26321233;11854
X43;26321233;11854
а;26321233;11854
X36;26321233;11854
А;26321233;11854
Х;26321233;11854
р;26321233;11854
X32;26071688;3055
X51;26071688;3055
X38;26071688;3055
X43;26071688;3055
з;26071688;3055
g;26071688;3055
X28;26071688;3055
v;26071688;3055
Р;26071688;3055
К;26071688;3055
Х;26071688;3055
Э;26071688;3055
X36;26071688;3055
q;26071688;3055
X50;26071688;3055
X;26071688;3055
X34;26071688;3055
к;26071688;3055
X37;26071688;3055
X40;26071688;3055
Л;26071688;3055
X42;26071688;3055
р;26071688;3055
X30;26071688;3055
л;26071688;3055
X29;26071688;3055
X27;26071688;3055
X41;26071688;3055
а;26071688;3055
А;26071688;3055
X47;26071688;3055
X42;26071725;3055
X51;26071725;3055
X36;26071725;3055
v;26071725;3055
X29;26071725;3055
X50;26071725;3055
X47;26071725;3055
К;26071725;3055
Л;26071725;3055
X34;26071725;3055
X32;26071725;3055
л;26071725;3055
X28;26071725;3055
р;26071725;3055
q;26071725;3055
X43;26071725;3055
X30;26071725;3055
Э;26071725;3055
к;26071725;3055
X41;26071725;3055
X;26071725;3055
X40;26071725;3055
Х;26071725;3055
X38;26071725;3055
X37;26071725;3055
Р;26071725;3055
X27;26071725;3055
g;26071725;3055
а;26071725;3055
А;26071725;3055
з;26071725;3055
g;26071756;3055
р;26071756;3055
v;26071756;3055
X36;26071756;3055
X38;26071756;3055
X28;26071756;3055
X40;26071756;3055
А;26071756;3055
л;26071756;3055
X32;26071756;3055
X51;26071756;3055
Р;26071756;3055
к;26071756;3055
X47;26071756;3055
X30;26071756;3055
а;26071756;3055
Х;26071756;3055
q;26071756;3055
X27;26071756;3055
X29;26071756;3055
X37;26071756;3055
з;26071756;3055
X34;26071756;3055
К;26071756;3055
X43;26071756;3055
X;26071756;3055
Л;26071756;3055
Э;26071756;3055
X41;26071756;3055
X50;26071756;3055
X42;26071756;3055
К;26321202;7388
q;26321202;7388
X30;26321202;7388
X38;26321202;7388
А;26321202;7388
Х;26321202;7388
X37;26321202;7388
X27;26321202;7388
Л;26321202;7388
X47;26321202;7388
X;26321202;7388
а;26321202;7388
Э;26321202;7388
з;26321202;7388
X28;26321202;7388
X40;26321202;7388
X42;26321202;7388
X32;26321202;7388
X43;26321202;7388
g;26321202;7388
X34;26321202;7388
к;26321202;7388
л;26321202;7388
X51;26321202;7388
X50;26321202;7388
v;26321202;7388
р;26321202;7388
X41;26321202;7388
Р;26321202;7388
X29;26321202;7388
X36;26321202;7388
X47;23149809;1353
X37;23149809;1353
X34;23149809;1353
К;23149809;1353
v;23149809;1353
X29;23149809;1353
X41;23149809;1353
р;23149809;1353
X28;23149809;1353
X36;23149809;1353
к;23149809;1353
X40;23149809;1353
X50;23149809;1353
Х;23149809;1353
X30;23149809;1353
X42;23149809;1353
л;23149809;1353
а;23149809;1353
Л;23149809;1353
X51;23149809;1353
X38;23149809;1353
X;23149809;1353
Р;23149809;1353
X43;23149809;1353
з;23149809;1353
g;23149809;1353
X32;23149809;1353
q;23149809;1353
X27;23149809;1353
Э;23149809;1353
А;23149809;1353
q;26071749;3178
з;26071749;3178
X;26071749;3178
л;26071749;3178
X29;26071749;3178
Э;26071749;3178
X43;26071749;3178
v;26071749;3178
а;26071749;3178
А;26071749;3178
X32;26071749;3178
X34;26071749;3178
X30;26071749;3178
X40;26071749;3178
X51;26071749;3178
р;26071749;3178
X38;26071749;3178
X27;26071749;3178
Р;26071749;3178
X37;26071749;3178
X28;26071749;3178
к;26071749;3178
Л;26071749;3178
X36;26071749;3178
X42;26071749;3178
X41;26071749;3178
X47;26071749;3178
К;26071749;3178
Х;26071749;3178
g;26071749;3178
X50;26071749;3178
q;24693516;760
X27;24693516;760
X28;24693516;760
X43;24693516;760
X38;24693516;760
X47;24693516;760
А;24693516;760
X;24693516;760
X36;24693516;760
X32;24693516;760
X34;24693516;760
X42;24693516;760
v;24693516;760
Р;24693516;760
X37;24693516;760
Э;24693516;760
Х;24693516;760
л;24693516;760
X50;24693516;760
а;24693516;760
g;24693516;760
К;24693516;760
X40;24693516;760
к;24693516;760
Л;24693516;760
X29;24693516;760
з;24693516;760
X41;24693516;760
X51;24693516;760
X30;24693516;760
р;24693516;760
X41;26152738;703
X37;26152738;703
X34;26152738;703
X28;26152738;703
X32;26152738;703
g;26152738;703
X38;26152738;703
X36;26152738;703
X;26152738;703
v;26152738;703
Х;26152738;703
Л;26152738;703
X43;26152738;703
Э;26152738;703
а;26152738;703
р;26152738;703
з;26152738;703
q;26152738;703
Р;26152738;703
X42;26152738;703
X51;26152738;703
X47;26152738;703
X30;26152738;703
А;26152738;703
X40;26152738;703
X29;26152738;703
к;26152738;703
X27;26152738;703
К;26152738;703
л;26152738;703
X50;26152738;703
g;23734821;698
к;23734821;698
X;23734821;698
Л;23734821;698
X37;23734821;698
X50;23734821;698
К;23734821;698
А;23734821;698
v;23734821;698
Э;23734821;698
X38;23734821;698
X27;23734821;698
X34;23734821;698
Р;23734821;698
X41;23734821;698
q;23734821;698
X40;23734821;698
з;23734821;698
X42;23734821;698
X43;23734821;698
X30;23734821;698
X32;23734821;698
Х;23734821;698
л;23734821;698
X47;23734821;698
X28;23734821;698
X29;23734821;698
X51;23734821;698
р;23734821;698
X36;23734821;698
а;23734821;698
к;24262002;1480
X50;24262002;1480
X29;24262002;1480
К;24262002;1480
А;24262002;1480
Э;24262002;1480
X38;24262002;1480
X47;24262002;1480
X37;24262002;1480
X41;24262002;1480
X43;24262002;1480
X36;24262002;1480
X;24262002;1480
